age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
43,retired,married,primary,no,313.5,no,no,cellular,12,aug,76,4,-1,0,unknown,no
41,entrepreneur,single,tertiary,no,0.0,no,no,unknown,3,jun,31,5,-1,0,unknown,no
43,retired,single,unknown,no,193.5,yes,yes,cellular,30,apr,482,1,161,1,failure,yes
47,blue-collar,married,unknown,no,933.0,yes,no,cellular,11,may,175,1,-1,0,unknown,no
46,blue-collar,divorced,primary,no,-462.0,yes,no,cellular,12,may,725,1,-1,0,unknown,yes
50,blue-collar,divorced,secondary,no,1189.5,yes,no,unknown,15,may,109,1,-1,0,unknown,no
45,retired,single,secondary,no,274.5,no,no,cellular,23,oct,281,1,52,4,failure,yes
51,blue-collar,married,unknown,no,603.0,yes,no,cellular,15,jul,368,2,-1,0,unknown,no
56,admin.,married,secondary,no,1108.5,yes,no,cellular,23,jul,250,1,-1,0,unknown,no
41,technician,married,secondary,no,0.0,no,yes,cellular,19,aug,144,4,-1,0,unknown,no
64,services,single,secondary,no,838.5,yes,yes,unknown,3,jun,242,6,-1,0,unknown,no
62,services,married,secondary,no,7.5,yes,yes,cellular,11,jul,94,2,-1,0,unknown,no
39,blue-collar,single,secondary,no,1944.0,yes,yes,cellular,29,jan,275,1,240,1,other,no
48,admin.,married,primary,no,5869.5,yes,no,cellular,20,apr,196,2,315,2,failure,no
46,services,divorced,secondary,no,334.5,yes,yes,cellular,11,may,80,1,-1,0,unknown,no
39,technician,married,tertiary,no,64.5,yes,no,unknown,20,may,68,2,-1,0,unknown,no
54,retired,married,primary,no,2148.0,yes,yes,unknown,27,may,63,9,-1,0,unknown,no
43,services,married,secondary,no,2446.5,yes,no,cellular,20,nov,366,6,-1,0,unknown,no
49,technician,married,secondary,no,5241.0,yes,no,cellular,19,nov,139,1,92,4,failure,no
56,admin.,single,unknown,no,459.0,yes,no,cellular,11,may,289,5,-1,0,unknown,no
76,retired,married,primary,no,3828.0,no,no,telephone,22,apr,186,4,-1,0,unknown,no
59,technician,married,primary,no,2122.5,yes,no,cellular,30,jul,269,2,-1,0,unknown,no
47,management,married,tertiary,no,10156.5,no,no,cellular,7,sep,337,1,186,1,success,yes
33,student,single,secondary,no,646.5,no,no,cellular,15,feb,201,3,186,2,success,yes
42,retired,single,secondary,no,5487.0,yes,yes,cellular,20,nov,56,4,-1,0,unknown,no
58,services,married,secondary,no,2359.5,no,no,cellular,5,aug,165,1,-1,0,unknown,no
64,technician,married,primary,no,-2727.0,yes,no,cellular,17,jul,271,2,-1,0,unknown,no
55,blue-collar,married,secondary,no,1206.0,yes,no,unknown,16,may,528,1,-1,0,unknown,yes
37,student,single,tertiary,no,177.0,no,no,cellular,31,aug,160,3,98,1,failure,yes
66,management,married,tertiary,no,-1143.0,yes,yes,cellular,4,feb,19,10,7,5,other,no
45,unemployed,married,tertiary,no,-141.0,yes,no,cellular,18,jul,354,1,-1,0,unknown,no
49,retired,married,tertiary,no,7.5,yes,no,cellular,17,nov,118,2,131,1,other,no
46,technician,married,secondary,no,0.0,yes,no,cellular,21,jul,193,5,-1,0,unknown,no
61,retired,single,primary,no,906.0,no,no,unknown,20,jun,43,2,-1,0,unknown,no
52,retired,married,primary,no,238.5,yes,no,telephone,12,may,295,3,-1,0,unknown,no
43,technician,single,secondary,no,0.0,no,no,cellular,26,aug,73,4,-1,0,unknown,no
62,admin.,divorced,secondary,no,4075.5,no,no,telephone,18,nov,114,1,162,2,failure,no
52,technician,single,unknown,no,16672.5,no,no,cellular,30,apr,328,1,-1,0,unknown,yes
47,self-employed,single,tertiary,no,834.0,no,no,unknown,17,jun,200,2,-1,0,unknown,no
48,blue-collar,married,primary,no,435.0,yes,no,cellular,16,apr,283,1,-1,0,unknown,no
55,retired,married,secondary,no,0.0,yes,yes,unknown,20,jun,8,5,-1,0,unknown,no
49,blue-collar,married,secondary,no,439.5,yes,no,unknown,23,may,160,3,-1,0,unknown,no
59,self-employed,divorced,tertiary,no,4939.5,no,no,cellular,24,may,260,1,77,9,failure,no
47,technician,married,secondary,yes,-4.5,no,no,cellular,29,aug,122,4,-1,0,unknown,no
43,management,single,tertiary,no,8917.5,yes,no,cellular,19,nov,190,1,-1,0,unknown,no
43,retired,single,secondary,no,-544.5,yes,no,cellular,18,may,214,2,-1,0,unknown,no
50,blue-collar,married,secondary,no,4683.0,yes,no,unknown,12,may,344,3,-1,0,unknown,no
43,technician,married,secondary,no,1539.0,no,no,cellular,3,aug,326,2,340,3,failure,no
40,blue-collar,single,secondary,no,342.0,no,no,cellular,5,feb,232,1,365,1,failure,no
65,retired,married,unknown,no,34.5,no,no,cellular,13,aug,123,2,-1,0,unknown,no
59,blue-collar,married,primary,no,4573.5,no,no,unknown,12,jun,124,2,-1,0,unknown,no
41,blue-collar,single,secondary,no,24.0,no,no,cellular,7,jul,387,1,-1,0,unknown,no
70,retired,married,secondary,no,1708.5,no,no,cellular,6,feb,67,2,207,2,failure,no
66,retired,married,secondary,no,-1.5,yes,no,unknown,2,jun,45,1,-1,0,unknown,no
42,retired,married,secondary,no,7185.0,yes,no,cellular,22,jul,314,2,-1,0,unknown,no
53,services,divorced,secondary,no,829.5,yes,no,telephone,3,feb,362,2,-1,0,unknown,no
39,student,single,secondary,no,1422.0,yes,no,unknown,6,may,75,2,-1,0,unknown,no
31,student,single,secondary,no,9.0,no,no,unknown,9,may,622,1,-1,0,unknown,no
55,blue-collar,single,primary,no,462.0,yes,no,cellular,23,jul,191,2,-1,0,unknown,no
57,admin.,divorced,secondary,no,-610.5,yes,no,unknown,27,may,46,1,-1,0,unknown,no
49,management,married,tertiary,no,862.5,no,no,unknown,6,jun,109,1,-1,0,unknown,no
51,blue-collar,married,secondary,no,2827.5,yes,no,cellular,7,apr,158,2,-1,0,unknown,no
80,technician,married,secondary,no,4530.0,no,no,telephone,30,apr,56,1,-1,0,unknown,no
64,management,married,tertiary,no,750.0,yes,no,cellular,11,aug,56,4,-1,0,unknown,no
68,retired,married,tertiary,no,102.0,yes,no,unknown,6,may,172,5,-1,0,unknown,no
48,retired,married,tertiary,no,570.0,no,no,cellular,10,feb,100,1,-1,0,unknown,no
59,blue-collar,married,unknown,no,2916.0,no,no,unknown,5,jun,773,1,-1,0,unknown,no
47,services,married,secondary,yes,-1431.0,yes,no,cellular,17,nov,69,1,180,3,failure,no
65,retired,married,primary,no,1302.0,no,no,unknown,19,jun,207,1,-1,0,unknown,no
41,blue-collar,single,secondary,no,616.5,no,no,cellular,21,may,91,3,361,1,failure,no
44,management,single,tertiary,no,10060.5,yes,no,cellular,20,apr,16,3,154,4,other,no
36,management,single,tertiary,no,-12.0,no,no,cellular,13,aug,402,2,-1,0,unknown,no
58,blue-collar,single,primary,no,2907.0,yes,no,unknown,4,jun,407,1,-1,0,unknown,no
49,retired,married,secondary,no,14427.0,yes,no,cellular,13,may,94,2,338,1,failure,no
37,student,single,tertiary,no,5530.5,no,no,cellular,8,apr,335,2,-1,0,unknown,no
67,technician,married,primary,no,6663.0,no,no,cellular,8,jul,97,6,-1,0,unknown,no
42,blue-collar,single,secondary,no,652.5,yes,no,unknown,21,may,373,2,-1,0,unknown,no
44,management,single,secondary,no,291.0,no,no,cellular,29,aug,186,2,-1,0,unknown,no
43,unemployed,married,secondary,yes,-162.0,yes,yes,cellular,19,nov,286,3,-1,0,unknown,no
61,retired,single,tertiary,no,2347.5,yes,no,cellular,24,jul,870,3,-1,0,unknown,no
78,retired,married,tertiary,no,4230.0,no,no,cellular,3,dec,154,1,97,2,failure,yes
48,admin.,married,secondary,no,-21.0,no,yes,cellular,8,jul,124,1,-1,0,unknown,no
40,retired,single,primary,no,696.0,yes,no,cellular,13,apr,686,1,-1,0,unknown,no
63,housemaid,married,primary,no,4749.0,no,no,unknown,20,jun,14,12,-1,0,unknown,no
61,blue-collar,married,primary,no,0.0,no,no,cellular,20,nov,85,1,-1,0,unknown,no
48,management,married,secondary,no,144.0,yes,no,cellular,20,nov,151,3,-1,0,unknown,no
64,retired,married,secondary,no,1218.0,yes,yes,cellular,31,jul,83,6,-1,0,unknown,no
46,unemployed,married,secondary,no,1384.5,no,no,unknown,27,sep,6,1,-1,0,unknown,no
35,retired,married,secondary,no,-34.5,yes,no,cellular,25,jul,936,1,-1,0,unknown,no
63,technician,married,secondary,no,5143.5,no,no,cellular,19,aug,280,4,-1,0,unknown,no
45,management,married,tertiary,no,129.0,yes,no,cellular,19,aug,144,3,-1,0,unknown,no
56,unemployed,married,secondary,no,-187.5,yes,no,unknown,6,may,23,1,-1,0,unknown,no
38,technician,married,tertiary,no,304.5,no,yes,cellular,29,jan,188,3,-1,0,unknown,no
46,admin.,single,secondary,no,0.0,yes,yes,unknown,16,may,213,1,-1,0,unknown,no
37,student,single,secondary,no,807.0,no,no,cellular,18,dec,170,4,197,2,success,yes
59,blue-collar,married,tertiary,no,2653.5,yes,no,cellular,14,may,283,2,-1,0,unknown,no
40,unemployed,single,tertiary,no,459.0,no,no,cellular,6,feb,90,6,256,14,failure,no
47,management,married,tertiary,no,498.0,yes,no,cellular,14,aug,190,2,84,7,failure,no
55,services,divorced,secondary,no,-268.5,no,no,unknown,3,jul,155,2,-1,0,unknown,no
47,technician,married,secondary,no,673.5,yes,no,cellular,29,aug,59,4,-1,0,unknown,no
43,management,single,tertiary,no,8914.5,no,no,cellular,28,aug,81,8,-1,0,unknown,no
69,retired,married,primary,no,1596.0,yes,no,cellular,6,may,88,2,-1,0,unknown,no
50,technician,married,secondary,no,-594.0,yes,no,unknown,26,may,127,1,-1,0,unknown,no
55,housemaid,married,secondary,no,1305.0,no,yes,unknown,19,jun,258,2,-1,0,unknown,no
38,blue-collar,married,secondary,no,294.0,yes,no,unknown,26,jun,176,7,-1,0,unknown,no
56,blue-collar,married,secondary,no,835.5,no,no,unknown,18,jun,89,1,-1,0,unknown,no
61,retired,married,secondary,no,804.0,yes,yes,cellular,4,feb,53,1,-1,0,unknown,no
54,retired,married,primary,no,96.0,no,yes,cellular,29,jul,223,6,-1,0,unknown,no
65,technician,married,unknown,no,360.0,yes,no,cellular,2,aug,108,3,277,1,success,yes
61,management,married,tertiary,no,385.5,yes,no,cellular,8,may,129,2,-1,0,unknown,no
39,technician,single,tertiary,no,1009.5,yes,no,cellular,9,feb,835,3,-1,0,unknown,yes
66,retired,married,secondary,no,0.0,no,no,cellular,26,jan,413,2,-1,0,unknown,no
57,management,married,tertiary,no,589.5,yes,yes,cellular,21,jul,419,2,-1,0,unknown,no
44,technician,married,tertiary,no,715.5,no,no,telephone,29,jul,128,11,-1,0,unknown,no
48,services,married,secondary,no,456.0,no,yes,unknown,3,jul,131,1,-1,0,unknown,no
44,management,single,tertiary,no,-96.0,yes,yes,cellular,28,aug,693,7,-1,0,unknown,no
49,technician,single,tertiary,no,0.0,no,no,cellular,21,aug,121,2,-1,0,unknown,no
53,blue-collar,married,secondary,no,1807.5,yes,no,unknown,6,may,769,2,-1,0,unknown,no
65,blue-collar,married,secondary,no,294.0,no,no,cellular,21,aug,81,1,-1,0,unknown,yes
52,admin.,divorced,secondary,no,8031.0,yes,no,cellular,17,apr,799,1,-1,0,unknown,no
54,blue-collar,married,primary,no,3.0,no,yes,telephone,7,jul,46,2,-1,0,unknown,no
62,retired,single,tertiary,no,895.5,no,no,cellular,25,aug,84,4,-1,0,unknown,no
46,technician,divorced,secondary,no,849.0,yes,no,unknown,20,may,129,2,-1,0,unknown,no
50,technician,married,tertiary,no,-2668.5,yes,yes,unknown,18,jun,37,2,-1,0,unknown,no
49,blue-collar,married,secondary,no,991.5,yes,no,unknown,12,may,162,4,-1,0,unknown,no
51,technician,married,tertiary,no,1224.0,yes,yes,cellular,13,apr,520,2,319,1,failure,no
40,management,single,tertiary,no,0.0,yes,no,cellular,2,apr,293,2,314,2,failure,no
49,blue-collar,married,secondary,no,84.0,yes,no,telephone,20,apr,368,1,-1,0,unknown,no
53,management,married,secondary,no,3172.5,yes,no,cellular,18,nov,102,1,-1,0,unknown,no
56,blue-collar,single,primary,no,532.5,yes,no,unknown,13,may,320,1,-1,0,unknown,no
45,entrepreneur,married,tertiary,no,768.0,yes,no,unknown,30,may,659,1,-1,0,unknown,no
55,admin.,married,unknown,no,2335.5,no,no,unknown,20,jun,158,5,-1,0,unknown,no
44,management,married,tertiary,no,-184.5,yes,no,cellular,14,jul,64,3,-1,0,unknown,no
58,student,single,unknown,no,1918.5,no,no,telephone,20,oct,2429,1,-1,0,unknown,no
61,admin.,married,secondary,no,5604.0,no,no,cellular,20,nov,92,1,-1,0,unknown,no
83,retired,divorced,secondary,no,1638.0,no,no,cellular,7,aug,390,2,-1,0,unknown,no
41,blue-collar,married,secondary,no,1707.0,yes,yes,unknown,21,may,254,3,-1,0,unknown,no
64,blue-collar,single,unknown,no,2332.5,yes,no,telephone,30,jan,258,5,248,2,failure,no
47,technician,married,secondary,no,415.5,yes,no,cellular,4,feb,244,2,-1,0,unknown,no
66,retired,divorced,secondary,no,1465.5,no,no,cellular,7,jul,1200,1,-1,0,unknown,no
57,blue-collar,married,primary,no,2178.0,yes,yes,cellular,28,jan,181,1,177,2,failure,no
40,admin.,married,secondary,no,1027.5,yes,no,unknown,20,jun,25,3,-1,0,unknown,no
46,technician,married,secondary,no,741.0,yes,no,unknown,9,may,83,3,-1,0,unknown,no
61,blue-collar,married,primary,no,3472.5,no,no,cellular,7,aug,111,2,-1,0,unknown,no
62,technician,married,secondary,no,694.5,yes,no,cellular,4,feb,132,6,267,5,failure,no
47,management,married,tertiary,no,895.5,no,yes,unknown,30,jun,96,3,-1,0,unknown,no
51,admin.,married,secondary,no,0.0,no,no,unknown,20,jun,89,1,-1,0,unknown,no
47,retired,married,secondary,no,1354.5,yes,no,cellular,20,apr,124,1,-1,0,unknown,no
49,services,married,secondary,no,259.5,yes,no,cellular,18,nov,96,2,182,2,failure,no
43,technician,married,secondary,no,-244.5,yes,yes,cellular,8,aug,502,2,-1,0,unknown,no
41,management,divorced,secondary,no,0.0,yes,no,cellular,15,jul,216,7,-1,0,unknown,no
47,services,married,secondary,no,0.0,yes,no,unknown,3,jun,126,1,-1,0,unknown,no
47,technician,divorced,secondary,no,118.5,no,no,cellular,21,jul,191,1,-1,0,unknown,no
70,services,divorced,secondary,no,87.0,no,yes,cellular,11,jul,165,2,-1,0,unknown,no
47,technician,single,tertiary,no,10333.5,yes,no,cellular,21,nov,1221,1,-1,0,unknown,no
67,retired,married,secondary,no,622.5,no,no,cellular,6,oct,408,1,410,2,failure,no
57,technician,married,secondary,no,-817.5,yes,yes,unknown,26,may,140,5,-1,0,unknown,no
45,technician,single,secondary,no,3744.0,yes,no,cellular,20,apr,9,2,-1,0,unknown,no
57,blue-collar,married,secondary,no,357.0,yes,yes,cellular,13,mar,3076,1,-1,0,unknown,yes
57,blue-collar,married,secondary,no,2691.0,yes,yes,unknown,30,may,515,2,-1,0,unknown,no
49,retired,single,secondary,no,1243.5,no,no,cellular,5,feb,336,1,-1,0,unknown,no
51,technician,single,secondary,no,852.0,yes,no,unknown,30,may,72,2,-1,0,unknown,no
47,blue-collar,single,secondary,no,0.0,no,no,cellular,19,nov,228,3,-1,0,unknown,no
52,management,married,tertiary,no,1908.0,yes,no,cellular,5,may,117,1,169,1,failure,no
51,housemaid,married,primary,no,0.0,no,no,cellular,14,apr,168,1,-1,0,unknown,yes
53,blue-collar,married,secondary,no,21969.0,no,no,cellular,23,oct,210,1,-1,0,unknown,yes
63,unemployed,single,secondary,no,6.0,no,no,cellular,30,jul,259,3,-1,0,unknown,no
49,technician,divorced,secondary,no,1032.0,yes,yes,cellular,1,apr,233,2,133,1,failure,no
55,retired,single,tertiary,no,24.0,no,no,cellular,18,nov,100,1,110,2,failure,no
47,services,single,secondary,no,372.0,yes,no,cellular,8,apr,417,2,57,3,failure,no
44,management,married,tertiary,no,454.5,yes,no,cellular,18,jul,226,2,-1,0,unknown,no
41,retired,single,secondary,no,1035.0,no,no,cellular,4,may,10,4,87,12,failure,no
70,retired,married,secondary,no,-594.0,yes,no,cellular,11,may,443,1,350,1,failure,no
36,services,single,secondary,no,114.0,yes,no,unknown,3,jun,177,1,-1,0,unknown,no
59,retired,married,secondary,no,12972.0,no,no,cellular,17,nov,527,1,-1,0,unknown,no
64,management,married,tertiary,no,882.0,no,no,cellular,13,aug,327,1,-1,0,unknown,no
68,services,married,secondary,no,97.5,no,no,unknown,27,jun,162,1,-1,0,unknown,no
70,retired,married,tertiary,no,3675.0,no,no,unknown,9,jul,297,5,-1,0,unknown,no
50,blue-collar,married,secondary,yes,-84.0,yes,no,unknown,27,may,316,1,-1,0,unknown,no
60,blue-collar,married,secondary,no,489.0,no,no,cellular,28,aug,157,9,-1,0,unknown,no
54,management,married,tertiary,no,4314.0,no,no,unknown,9,jun,125,1,-1,0,unknown,no
40,admin.,married,secondary,no,885.0,no,no,cellular,11,aug,443,3,-1,0,unknown,no
57,services,married,secondary,no,2443.5,yes,no,cellular,7,may,25,1,-1,0,unknown,no
44,services,married,secondary,no,1905.0,yes,no,unknown,21,may,494,3,-1,0,unknown,no
79,retired,married,secondary,no,3709.5,no,no,cellular,8,jul,967,3,-1,0,unknown,yes
45,management,single,tertiary,no,3459.0,no,no,cellular,18,aug,86,7,-1,0,unknown,no
51,unemployed,single,secondary,no,253.5,yes,no,cellular,11,may,712,1,-1,0,unknown,no
53,technician,divorced,tertiary,no,1632.0,no,no,cellular,20,aug,341,3,-1,0,unknown,no
49,management,divorced,tertiary,no,2952.0,no,no,cellular,21,nov,648,1,-1,0,unknown,yes
36,services,single,secondary,no,138.0,yes,no,unknown,3,jun,50,4,-1,0,unknown,no
36,technician,single,secondary,no,1884.0,no,no,unknown,26,may,404,1,-1,0,unknown,no
35,management,single,tertiary,no,1212.0,no,no,cellular,27,may,268,2,-1,0,unknown,no
47,retired,single,secondary,no,1816.5,yes,no,unknown,21,may,795,1,-1,0,unknown,yes
63,technician,married,tertiary,no,1482.0,no,no,cellular,20,aug,1408,5,-1,0,unknown,yes
82,blue-collar,married,primary,no,6622.5,no,no,telephone,13,oct,120,1,-1,0,unknown,no
62,housemaid,divorced,primary,no,2545.5,no,no,unknown,20,jun,153,1,-1,0,unknown,no
44,management,single,tertiary,no,72.0,yes,no,cellular,12,aug,810,3,93,6,failure,yes
57,management,single,tertiary,no,129.0,no,no,cellular,30,apr,387,3,87,1,success,yes
47,self-employed,single,tertiary,no,2637.0,no,no,cellular,8,jun,98,2,-1,0,unknown,no
41,management,single,tertiary,no,436.5,yes,no,cellular,15,may,48,1,-1,0,unknown,no
40,technician,single,secondary,no,1194.0,yes,yes,cellular,18,aug,315,4,-1,0,unknown,no
57,management,divorced,tertiary,no,160.5,no,no,unknown,15,may,246,1,-1,0,unknown,no
69,management,married,tertiary,no,1962.0,no,no,cellular,30,jul,183,4,-1,0,unknown,no
61,technician,married,secondary,no,406.5,yes,no,unknown,28,may,294,3,-1,0,unknown,no
45,retired,single,secondary,no,1035.0,yes,no,cellular,17,nov,1012,1,-1,0,unknown,no
70,retired,married,tertiary,no,1138.5,no,no,cellular,8,aug,255,2,-1,0,unknown,no
43,technician,divorced,secondary,no,33.0,no,no,cellular,29,aug,71,2,-1,0,unknown,no
35,technician,single,secondary,no,1407.0,no,no,cellular,1,jun,1048,1,-1,0,unknown,yes
40,technician,married,tertiary,no,1.5,no,no,cellular,29,aug,69,21,-1,0,unknown,no
68,unemployed,married,secondary,no,1030.5,yes,no,cellular,30,apr,341,2,-1,0,unknown,yes
43,retired,married,secondary,no,265.5,yes,no,cellular,11,may,100,1,-1,0,unknown,no
68,blue-collar,married,secondary,no,1612.5,yes,no,cellular,18,may,42,1,-1,0,unknown,no
39,technician,married,tertiary,no,-21.0,no,no,cellular,21,jul,203,2,-1,0,unknown,no
38,self-employed,single,tertiary,no,405.0,yes,no,cellular,7,may,49,2,345,2,failure,no
52,retired,married,secondary,no,4.5,yes,no,cellular,12,may,118,1,-1,0,unknown,no
39,retired,married,tertiary,no,3457.5,no,no,cellular,27,may,82,2,-1,0,unknown,no
61,management,married,tertiary,no,703.5,no,no,cellular,15,apr,200,1,181,2,success,yes
36,blue-collar,married,primary,no,-328.5,yes,yes,unknown,15,may,311,5,-1,0,unknown,no
43,blue-collar,married,unknown,no,36.0,yes,no,cellular,14,may,535,1,-1,0,unknown,no
49,blue-collar,single,secondary,no,-720.0,yes,yes,cellular,2,feb,147,2,252,3,other,no
37,technician,single,unknown,no,832.5,no,no,unknown,11,jun,240,9,-1,0,unknown,no
46,blue-collar,single,primary,no,394.5,yes,no,cellular,17,apr,199,2,337,2,failure,no
67,management,married,tertiary,no,3660.0,yes,no,unknown,15,may,391,2,-1,0,unknown,no
63,retired,married,secondary,no,0.0,yes,no,cellular,17,jul,187,1,-1,0,unknown,no
33,blue-collar,single,secondary,no,321.0,yes,no,unknown,28,may,44,1,-1,0,unknown,no
41,entrepreneur,single,tertiary,no,205.5,no,no,cellular,29,jan,445,2,-1,0,unknown,no
51,retired,divorced,tertiary,no,6414.0,yes,no,cellular,12,feb,103,3,-1,0,unknown,no
76,technician,married,secondary,no,0.0,no,no,cellular,6,feb,751,1,-1,0,unknown,yes
44,technician,single,secondary,no,0.0,yes,yes,unknown,16,may,214,1,-1,0,unknown,no
69,technician,married,secondary,no,174.0,no,no,cellular,12,aug,398,4,422,3,failure,yes
47,blue-collar,married,secondary,no,639.0,yes,no,cellular,13,may,323,3,345,3,failure,no
54,self-employed,married,tertiary,no,4942.5,no,no,unknown,9,jun,138,4,-1,0,unknown,no
44,retired,single,tertiary,no,-438.0,yes,no,cellular,11,aug,111,2,-1,0,unknown,no
62,blue-collar,married,secondary,no,276.0,yes,no,unknown,3,jul,92,1,-1,0,unknown,no
67,management,married,tertiary,no,2035.5,yes,yes,cellular,18,nov,97,2,-1,0,unknown,no
40,management,single,tertiary,no,333.0,no,yes,cellular,4,feb,111,1,204,2,other,no
49,management,married,tertiary,no,12292.5,no,no,cellular,5,aug,121,3,-1,0,unknown,no
45,technician,married,tertiary,no,492.0,yes,no,cellular,22,jul,654,2,-1,0,unknown,yes
65,retired,divorced,secondary,no,-432.0,yes,no,cellular,14,may,62,4,352,2,failure,no
56,blue-collar,single,secondary,no,-150.0,yes,no,cellular,8,may,445,2,303,1,failure,no
43,unemployed,divorced,secondary,no,0.0,yes,no,cellular,18,nov,91,2,-1,0,unknown,no
40,retired,single,tertiary,no,3889.5,no,no,unknown,27,may,662,7,-1,0,unknown,no
64,blue-collar,divorced,primary,no,322.5,yes,no,cellular,18,may,34,7,348,5,failure,no
49,management,married,tertiary,no,14368.5,yes,no,cellular,18,nov,160,3,-1,0,unknown,no
66,retired,married,tertiary,no,4623.0,yes,yes,unknown,30,jun,444,3,-1,0,unknown,no
62,management,married,secondary,no,3324.0,yes,yes,cellular,14,may,161,1,332,8,failure,no
41,management,single,tertiary,yes,-547.5,yes,no,unknown,30,may,319,6,-1,0,unknown,no
54,technician,married,secondary,no,1839.0,yes,yes,cellular,29,jul,51,2,-1,0,unknown,no
67,blue-collar,married,unknown,no,145.5,yes,no,unknown,16,may,260,6,-1,0,unknown,no
61,services,married,secondary,no,408.0,no,yes,cellular,8,jul,217,1,-1,0,unknown,no
44,retired,single,secondary,no,2772.0,yes,no,unknown,5,jun,131,10,-1,0,unknown,no
38,admin.,single,secondary,no,39.0,yes,no,cellular,7,may,227,2,-1,0,unknown,no
65,entrepreneur,married,primary,no,57.0,no,yes,unknown,19,jun,63,1,-1,0,unknown,no
58,admin.,married,secondary,no,4060.5,no,no,cellular,17,nov,212,2,-1,0,unknown,no
40,blue-collar,single,secondary,no,154.5,yes,no,cellular,17,apr,2053,2,317,1,other,no
57,services,married,secondary,no,334.5,no,no,cellular,15,may,133,2,-1,0,unknown,no
42,retired,married,secondary,yes,-79.5,yes,no,cellular,16,apr,648,1,272,1,other,yes
50,technician,single,tertiary,no,2469.0,yes,no,cellular,2,feb,215,1,242,2,failure,yes
45,retired,married,tertiary,no,93.0,no,no,cellular,8,feb,469,2,185,2,failure,yes
69,retired,divorced,primary,no,60.0,no,no,unknown,6,jun,108,1,-1,0,unknown,no
47,technician,single,secondary,no,-411.0,yes,no,cellular,26,aug,218,5,-1,0,unknown,no
51,retired,married,secondary,no,960.0,no,no,cellular,28,jul,169,6,-1,0,unknown,no
68,blue-collar,married,unknown,no,8257.5,yes,no,unknown,23,may,317,4,-1,0,unknown,no
55,services,divorced,secondary,no,2071.5,no,no,unknown,19,jun,653,2,-1,0,unknown,no
44,technician,single,secondary,no,2644.5,no,no,cellular,11,aug,246,2,-1,0,unknown,no
45,blue-collar,single,primary,no,1822.5,yes,no,unknown,15,may,597,1,-1,0,unknown,no
35,blue-collar,single,secondary,no,288.0,no,no,telephone,4,jul,112,2,-1,0,unknown,no
41,management,single,tertiary,no,4942.5,no,no,cellular,2,feb,845,2,-1,0,unknown,no
48,retired,single,secondary,no,69.0,no,no,cellular,25,aug,90,2,-1,0,unknown,no
51,entrepreneur,married,tertiary,no,256.5,yes,no,unknown,12,may,143,4,-1,0,unknown,no
65,admin.,married,primary,no,514.5,yes,no,cellular,14,jul,276,3,-1,0,unknown,no
51,blue-collar,married,primary,no,0.0,yes,no,cellular,6,feb,620,4,200,4,success,no
46,services,married,secondary,no,204.0,no,no,unknown,9,jun,244,3,-1,0,unknown,no
52,blue-collar,married,unknown,no,1684.5,yes,no,unknown,29,may,105,3,-1,0,unknown,no
56,entrepreneur,married,secondary,no,0.0,no,no,cellular,2,feb,64,1,-1,0,unknown,no
59,management,married,tertiary,no,2868.0,yes,no,cellular,20,aug,380,4,-1,0,unknown,no
